Element,Melting point,Temperature range limit,Alpha,FC,B0,P,Tc,Ph,S_BP1,S_BP2,S_BP3,S_BP4,L_BP1,L_BP2,L_BP3,L_BP4,Constituents_1,Constituents_2,Constituents_3
AG,1234.93,3000,50,33.472,0,0,0,,0,0,0,0,0,0,0,0,0.00E+00,0.00E+00,0.00E+00
AL,933.473,3000,50,31.748192,0,0,0,FCC_A1,700,933.473,3000,0,700,933.473,3000,0,2.70E+01,4.58E+03,2.83E+01
AM,1329,3000,50,41.84,0,0,0,,0,0,0,0,0,0,0,0,0.00E+00,0.00E+00,0.00E+00
AS,1090,1200,50,29.216037,0,0,0,,0,0,0,0,0,0,0,0,0.00E+00,0.00E+00,0.00E+00
AU,1337.33,3200,50,30.9616,0,0,0,,0,0,0,0,0,0,0,0,0.00E+00,0.00E+00,0.00E+00
B,2348,6000,50,31.4,0,0,0,,0,0,0,0,0,0,0,0,0.00E+00,0.00E+00,0.00E+00
BA,2995,4000,50,32.2,0,0,0,,0,0,0,0,0,0,0,0,0.00E+00,0.00E+00,0.00E+00
BE,1527,3000,50,103.9842999,0,0,0,,0,0,0,0,0,0,0,0,0.00E+00,0.00E+00,0.00E+00
BI,544.55,3000,50,27.196,0,0,0,,0,0,0,0,0,0,0,0,0.00E+00,0.00E+00,0.00E+00
C,4800,6000,50,24.3,0,0,0,,0,0,0,0,0,0,0,0,0.00E+00,0.00E+00,0.00E+00
CA,1115,3000,50,35,0,0,0,,0,0,0,0,0,0,0,0,0.00E+00,0.00E+00,0.00E+00
CD,594.22,1600,50,29.7064,0,0,0,,0,0,0,0,0,0,0,0,0.00E+00,0.00E+00,0.00E+00
CE,1000,4000,50,37.6978,0,0,0,,0,0,0,0,0,0,0,0,0.00E+00,0.00E+00,0.00E+00
CO,1768,6000,50,40.5,1.35,0.28,1396,,0,0,0,0,0,0,0,0,0.00E+00,0.00E+00,0.00E+00
CR,2180,6000,50,50,0.008,0,311.5,,0,0,0,0,0,0,0,0,0.00E+00,0.00E+00,0.00E+00
CS,301.59,2000,50,46.7273304,0,0,0,,0,0,0,0,0,0,0,0,0.00E+00,0.00E+00,0.00E+00
CU,1357.77,3200,50,31.38,0,0,0,,0,0,0,0,0,0,0,0,0.00E+00,0.00E+00,0.00E+00
DY,1654.15,3000,50,272.123952,3,0.28,179,,0,0,0,0,0,0,0,0,0.00E+00,0.00E+00,0.00E+00
ER,1802,3200,50,298.1351305,0,0,0,,0,0,0,0,0,0,0,0,0.00E+00,0.00E+00,0.00E+00
EU,1095,1900,50,38.11624,0,0,0,,0,0,0,0,0,0,0,0,0.00E+00,0.00E+00,0.00E+00
FE,1811,6000,50,46,2.22,0.37,1043,BCC,1811,6000,0,0,1811,6000,0,0,0.00E+00,0.00E+00,0.00E+00
GA,302.91,4000,50,26.0692906,0,0,0,,0,0,0,0,0,0,0,0,0.00E+00,0.00E+00,0.00E+00
GD,1508.15,3600,50,101.800197,3,0.28,293.4,,0,0,0,0,0,0,0,0,0.00E+00,0.00E+00,0.00E+00
GE,1211.4,3200,50,27.6144,0,0,0,,0,0,0,0,0,0,0,0,0.00E+00,0.00E+00,0.00E+00
HF,2506,3000,50,44,0,0,0,,0,0,0,0,0,0,0,0,0.00E+00,0.00E+00,0.00E+00
HG,234.32,2000,50,30.2091,0,0,0,,0,0,0,0,0,0,0,0,0.00E+00,0.00E+00,0.00E+00
HO,1703,3000,50,43.932,0,0,0,,0,0,0,0,0,0,0,0,0.00E+00,0.00E+00,0.00E+00
IN,429.7485,3800,50,27.4562,0,0,0,,0,0,0,0,0,0,0,0,0.00E+00,0.00E+00,0.00E+00
IR,2719,4000,50,59.418,0,0,0,,0,0,0,0,0,0,0,0,0.00E+00,0.00E+00,0.00E+00
K,336.53,2200,50,39.2885968,0,0,0,,0,0,0,0,0,0,0,0,0.00E+00,0.00E+00,0.00E+00
LA,2000,4000,50,34.3088,0,0,0,,0,0,0,0,0,0,0,0,0.00E+00,0.00E+00,0.00E+00
LI,453.6,3000,50,31.2283718,0,0,0,,0,0,0,0,0,0,0,0,0.00E+00,0.00E+00,0.00E+00
LU,1936,3700,50,239.019502,0,0,0,,0,0,0,0,0,0,0,0,0.00E+00,0.00E+00,0.00E+00
MG,923,3000,50,34.3088,0,0,0,,0,0,0,0,0,0,0,0,0.00E+00,0.00E+00,0.00E+00
MN,1519,2000,50,48,0.22,0.28,95,,0,0,0,0,0,0,0,0,0.00E+00,0.00E+00,0.00E+00
MO,2896,5000,50,42.63829,0,0,0,,0,0,0,0,0,0,0,0,0.00E+00,0.00E+00,0.00E+00
NA,370.87,2300,50,38.1198801,0,0,0,,0,0,0,0,0,0,0,0,0.00E+00,0.00E+00,0.00E+00
NB,2750,6000,50,41.77,0,0,0,,0,0,0,0,0,0,0,0,0.00E+00,0.00E+00,0.00E+00
ND,1128,1800,50,48.7854,0,0,0,,0,0,0,0,0,0,0,0,0.00E+00,0.00E+00,0.00E+00
NI,1728,3000,50,43.1,0.52,0.28,633,,0,0,0,0,0,0,0,0,0.00E+00,0.00E+00,0.00E+00
NP,553,4000,50,45.3964,0,0,0,,0,0,0,0,0,0,0,0,0.00E+00,0.00E+00,0.00E+00
OS,3306,5500,50,224.9980343,0,0,0,,0,0,0,0,0,0,0,0,0.00E+00,0.00E+00,0.00E+00
P,317.3,3000,50,26.326,0,0,0,,0,0,0,0,0,0,0,0,0.00E+00,0.00E+00,0.00E+00
PA,2176,4000,50,47.2792,0,0,0,,0,0,0,0,0,0,0,0,0.00E+00,0.00E+00,0.00E+00
PB,600.61,2100,50,18.9640637,0,0,0,,0,0,0,0,0,0,0,0,0.00E+00,0.00E+00,0.00E+00
PD,1828,4000,50,54.2067086,0,0,0,,0,0,0,0,0,0,0,0,0.00E+00,0.00E+00,0.00E+00
PR,1204,3800,50,42.9697,0,0,0,,0,0,0,0,0,0,0,0,0.00E+00,0.00E+00,0.00E+00
PT,2041.5,4000,50,136.192996,0,0,0,,0,0,0,0,0,0,0,0,0.00E+00,0.00E+00,0.00E+00
PU,944,3000,50,42.248,0,0,0,,0,0,0,0,0,0,0,0,0.00E+00,0.00E+00,0.00E+00
RB,312.46,2100,50,29.1775424,0,0,0,,0,0,0,0,0,0,0,0,0.00E+00,0.00E+00,0.00E+00
RE,3458,6000,50,49.519,0,0,0,,0,0,0,0,0,0,0,0,0.00E+00,0.00E+00,0.00E+00
RH,2237,2500,50,50.58456,0,0,0,,0,0,0,0,0,0,0,0,0.00E+00,0.00E+00,0.00E+00
RU,2607,4500,50,51.8816,0,0,0,,0,0,0,0,0,0,0,0,0.00E+00,0.00E+00,0.00E+00
S,368.3,1300,50,32,0,0,0,,0,0,0,0,0,0,0,0,0.00E+00,0.00E+00,0.00E+00
SB,368.3,2000,50,31.38,0,0,0,,0,0,0,0,0,0,0,0,0.00E+00,0.00E+00,0.00E+00
SC,1608,3200,50,44.2249,0,0,0,,0,0,0,0,0,0,0,0,0.00E+00,0.00E+00,0.00E+00
SE,494,1000,50,35.1456,0,0,0,,0,0,0,0,0,0,0,0,0.00E+00,0.00E+00,0.00E+00
SI,1687,3600,50,27.196,0,0,0,,0,0,0,0,0,0,0,0,0.00E+00,0.00E+00,0.00E+00
SM,1345,2100,50,50.208,0,0,0,,0,0,0,0,0,0,0,0,0.00E+00,0.00E+00,0.00E+00
SN,505.078,3000,50,28.4512,0,0,0,,0,0,0,0,0,0,0,0,0.00E+00,0.00E+00,0.00E+00
SR,1050,3000,50,9.7788593,0,0,0,,0,0,0,0,0,0,0,0,0.00E+00,0.00E+00,0.00E+00
TA,3290,6000,50,362.1591318,0,0,0,,0,0,0,0,0,0,0,0,0.00E+00,0.00E+00,0.00E+00
TB,1562,3000,50,200.2156949,0,0,0,,0,0,0,0,0,0,0,0,0.00E+00,0.00E+00,0.00E+00
TC,2430,4000,50,47,0,0,0,,0,0,0,0,0,0,0,0,0.00E+00,0.00E+00,0.00E+00
TE,722.66,1600,50,32.5596,0,0,0,,0,0,0,0,0,0,0,0,0.00E+00,0.00E+00,0.00E+00
TH,2900,4000,50,46.024,0,0,0,,0,0,0,0,0,0,0,0,0.00E+00,0.00E+00,0.00E+00
TI,1941,4000,50,87.2182461,0,0,0,,0,0,0,0,0,0,0,0,0.00E+00,0.00E+00,0.00E+00
TL,577,1800,50,25.8437,0,0,0,,0,0,0,0,0,0,0,0,0.00E+00,0.00E+00,0.00E+00
TM,1818,2300,50,534.082763,0,0,0,,0,0,0,0,0,0,0,0,0.00E+00,0.00E+00,0.00E+00
U,955,3000,50,48.66,0,0,0,,0,0,0,0,0,0,0,0,0.00E+00,0.00E+00,0.00E+00
V,2183,4000,50,47.43,0,0,0,,0,0,0,0,0,0,0,0,0.00E+00,0.00E+00,0.00E+00
W,3695,6000,50,54,0,0,0,,0,0,0,0,0,0,0,0,0.00E+00,0.00E+00,0.00E+00
Y,1795.15,3700,50,56.9527111,0,0,0,,0,0,0,0,0,0,0,0,0.00E+00,0.00E+00,0.00E+00
YB,1033,2000,50,2.7623966,0,0,0,,0,0,0,0,0,0,0,0,0.00E+00,0.00E+00,0.00E+00
ZN,692.677,1700,50,31.38,0,0,0,,0,0,0,0,0,0,0,0,0.00E+00,0.00E+00,0.00E+00
ZR,2128,6000,50,42.144,0,0,0,,0,0,0,0,0,0,0,0,0.00E+00,0.00E+00,0.00E+00
